,当前学区房价格,教育花费(千元/年),时间成本(分钟),占有教育资源,学校,学区,教育花费效率,时间成本效率,学区内教育资源占有差别,西城区教育资源占有差别,小区,户数
0,141272.88243468755,138.08754057863413,6.483333333333333,38.0,进步小学,展览路学区,0.10806378546604377,-1.7708333333333337,5.941566113124402,3.7031857434886604,车公庄大街北里,2516
1,117909.65503603128,115.27755440477806,3.8333333333333335,18.0,西城区实验小学,陶然亭-白纸坊学区,-0.06628622836214305,-8.355555555555556,-9.262577031585828,-16.29681425651134,中华家园,192
2,182589.37113079694,179.8856548224197,26.883333333333333,46.0,育翔小学,德胜学区,0.12915044655664537,-0.1243781094527364,8.722037402499765,11.70318574348866,新明胡同小区,919
3,113136.23436412503,110.61716833438255,2.283333333333333,27.999999999999996,三义里小学,广安门外学区,0.034753519730373855,-9.6969696969697,-4.567545485343064,-6.296814256511343,三义西里,578
4,183977.71021448442,179.78111803660545,2.8,38.66666666666666,五路通小学,德胜学区,0.08480865239450011,-3.9263803680981644,1.3887040691664225,4.369852410155318,北广家园,483
5,210046.59071156257,206.6926874435127,40.0,46.0,育翔小学,德胜学区,0.11111743920010253,-0.08350730688935289,8.722037402499765,11.70318574348866,新风北里,460
6,135019.9961755313,131.98272266609473,2.3833333333333333,10.0,椿树馆小学,广安门外学区,-0.12505780273869016,-17.10144927536232,-22.56754548534306,-24.29681425651134,车站东街甲9号院,156
7,112174.04569415629,111.13776429211866,17.983333333333334,27.999999999999996,三义里小学,广安门外学区,0.034565904209424556,-1.1918063314711362,-4.567545485343064,-6.296814256511343,马连道路5号院,406
8,151580.89810237504,148.1514624353108,4.816666666666666,28.666666666666664,北京第二实验小学白云路分校,月坛学区,0.029974257955127592,-4.366197183098593,-12.924889678842852,-5.630147589844675,汽北小区,1122
9,131373.59593739067,128.42266918559326,2.316666666666667,27.999999999999996,三义里小学,广安门外学区,0.029312005409400186,-9.552238805970152,-4.567545485343064,-6.296814256511343,三义里,749
10,197341.14394279695,194.28810565423154,26.033333333333335,22.000000000000004,北京市第十三中学附属小学,什刹海学区,-0.014849092799218104,-1.0533076429030184,-19.00249687890138,-12.296814256511336,新街口东街,326
11,131129.69853079692,128.18454726958765,7.016666666666667,18.0,西城区实验小学,陶然亭-白纸坊学区,-0.05874702410686841,-4.519230769230769,-9.262577031585828,-16.29681425651134,建功东里,350
12,181970.2469448282,177.82119149717468,1.0166666666666666,89.33333333333333,黄城根小学官园分校,新街口学区,0.39644206795311404,42.857142857142854,39.143086172344695,55.03651907682199,官园胡同小区,436
13,140006.49205429692,139.04113832245116,27.566666666666666,35.333333333333336,康乐里小学,广安门内-牛街学区,0.08578799835675273,-0.509399636143117,1.2439347052001608,1.036519076821996,长椿苑,204
14,158028.0982294219,154.4459928633492,6.083333333333333,28.666666666666664,北京第二实验小学玉桃园分校,新街口学区,0.02862410282848438,-3.444444444444445,-21.52358049432197,-5.630147589844675,玉桃园(二区),768
15,177706.06261635944,175.11798305360404,15.6,52.666666666666664,中古友谊小学,月坛学区,0.17454796300001418,0.21482277121374838,11.075110321157148,18.369852410155325,三里河东路甲8号院,193
16,115551.0867085313,114.43483697527329,18.05,20.0,登莱小学,广安门内-牛街学区,-0.04679243761871002,-1.6326530612244898,-14.089398628133175,-14.29681425651134,南线里小区,632
17,178539.60210482817,175.93178432698582,17.333333333333332,42.666666666666664,北京第一实验小学前门分校,大栅栏-椿树-天桥学区,0.11164302633765745,-0.3864734299516911,17.389666220545884,8.369852410155325,前门西大街小区,1024
18,179009.97567468756,174.93101945071098,10.55,52.666666666666664,中古友谊小学,月坛学区,0.17475163675687583,0.3184713375796174,11.075110321157148,18.369852410155325,三里河一区(5号院),608
19,147225.5872703438,143.89928536378204,4.4,38.66666666666666,展览路第一小学,展览路学区,0.10836277015286008,-2.471042471042473,6.608232779791059,4.369852410155318,百万庄午区,289
20,118901.32581009378,117.70574241491074,19.95,30.666666666666664,宣武回民小学,广安门内-牛街学区,0.058251227855952645,-0.9395973154362418,-3.4227319614665106,-3.6301475898446753,牛街东里(二区),340
21,129232.12310367191,127.79190642857695,22.95,8.0,白纸坊小学,陶然亭-白纸坊学区,-0.1473774822502372,-1.8075801749271139,-19.262577031585828,-26.29681425651134,恬心家园,672
22,193926.58025048443,189.49439883015296,6.266666666666667,12.0,鸦儿胡同小学,什刹海学区,-0.07246759170524068,-6.037735849056604,-29.002496878901383,-22.29681425651134,前马厂胡同小区,72
23,124628.89457812504,123.29768235451503,18.683333333333334,18.0,西城区实验小学,陶然亭-白纸坊学区,-0.061390711702647,-1.6845878136200716,-9.262577031585828,-16.29681425651134,建功北里(三区),486
24,135342.9592249219,133.75803795047577,26.816666666666666,18.0,新世纪实验小学,大栅栏-椿树-天桥学区,-0.055996802805865165,-1.172069825436409,-7.2770004461207805,-16.29681425651134,北纬路49号院,183
25,151298.13792220317,149.3353980162054,23.05,38.0,进步小学,展览路学区,0.09903555983556428,-0.49346879535558785,5.941566113124402,3.7031857434886604,九和苑,464
26,193103.76152714068,188.691064454178,2.716666666666667,89.33333333333333,黄城根小学,什刹海学区,0.3716743327263791,15.189873417721516,48.330836454431946,55.03651907682199,太平仓胡同小区,555
27,329998.5515039064,322.34418580429383,2.8,22.000000000000004,北京市第十三中学附属小学,什刹海学区,-0.008668124357846878,-10.061349693251534,-19.00249687890138,-12.296814256511336,大翔凤胡同,102
