,综合打分,市学科带头人人数,市级优秀教师人数,环境管理评级通过批次,家长评分,学校等级,学区房平均价格,学区房溢价,所属学区,多校划片后原学区房的平均溢价,多校划片后原学区房的平均价格,学校
0,28.666666666666664,0,0,1,7.0,区重点,116713.8,9533.117547415168,新街口学区,36391.919712252115,143572.60216483695,北京第二实验小学玉桃园分校
1,18.0,0,0,1,6.0,普通,111962.84166666666,4782.159214081825,大栅栏-椿树-天桥学区,26111.26318658142,133291.94563916625,新世纪实验小学
2,18.0,0,0,1,6.0,普通,84394.45,-22786.232452584838,广安门外学区,17047.79006492594,124228.47251751077,红莲小学
3,18.666666666666668,0,0,0,7.0,区重点,139196.61000000002,32015.92754741518,长安街学区,37621.147555374846,144801.83000795968,力学小学
4,20.0,0,0,2,4.0,普通,93990.86666666667,-13189.815785918167,广安门内-牛街学区,17047.79006492594,124228.47251751077,登莱小学
5,38.66666666666666,0,0,2,7.0,区重点,114793.80769230772,7613.125239722882,展览路学区,33524.56112782283,140705.24358040767,展览路第一小学
6,32.666666666666664,0,1,0,8.0,市重点,121265.55000000002,14084.867547415182,陶然亭-白纸坊学区,-80.4467147385003,107100.23573784633,育才小学
7,28.666666666666664,0,0,1,7.0,区重点,128663.625,21482.942547415165,月坛学区,27034.3936397184,134215.07609230324,北京第二实验小学白云路分校
8,0.0,0,0,0,4.0,普通,160300.00000000003,53119.317547415194,什刹海学区,45016.048790203306,152196.73124278814,雷锋小学
9,22.000000000000004,0,0,1,7.0,普通,161219.27500000002,54038.59254741519,什刹海学区,45016.048790203306,152196.73124278814,北京市第十三中学附属小学
10,12.0,0,0,0,7.0,普通,131061.91875000001,23881.236297415177,什刹海学区,45016.048790203306,152196.73124278814,鸦儿胡同小学
11,42.00000000000001,0,1,2,7.0,区重点,156794.1576923077,49613.47523972286,什刹海学区,45016.048790203335,152196.73124278817,厂桥小学
12,24.666666666666668,0,0,1,6.0,区重点,147745.36875,40564.68629741516,什刹海学区,45016.048790203335,152196.73124278817,西什库小学
13,49.333333333333336,0,0,2,8.0,市重点,131033.93333333335,23853.250880748514,月坛学区,27034.39363971837,134215.0760923032,三里河第三小学
14,52.666666666666664,0,1,2,8.0,市重点,135200.17777777778,28019.49532519294,月坛学区,27034.3936397184,134215.07609230324,中古友谊小学
15,46.0,0,2,1,8.0,市重点,136948.6222222222,29767.939769637378,月坛学区,27034.3936397184,134215.07609230324,育民小学
16,38.66666666666666,0,4,0,7.0,市重点,105188.31000000001,-1992.372452584823,陶然亭-白纸坊学区,-80.44671473848575,107100.23573784635,宣武师范学校附属第一小学
17,35.333333333333336,0,1,2,7.0,普通,122737.79000000001,15557.107547415173,陶然亭-白纸坊学区,-80.4467147385003,107100.23573784633,陶然亭小学
18,28.666666666666664,0,0,1,7.0,区重点,105234.8888888889,-1945.79356369593,陶然亭-白纸坊学区,-80.4467147385003,107100.23573784633,北京市第十五中学附属小学
19,18.666666666666668,0,0,0,7.0,区重点,141746.45625000002,34565.77379741518,陶然亭-白纸坊学区,-80.4467147385003,107100.23573784633,北京市第八中学附属小学
20,8.0,0,0,0,6.0,普通,96485.6931818182,-10694.98927076663,陶然亭-白纸坊学区,-80.44671473851486,107100.23573784632,白纸坊小学
