,综合打分,市学科带头人人数,市级优秀教师人数,环境管理评级通过批次,家长评分,学校等级,学区房平均价格,学区房溢价,所属学区,多校划片后原学区房的平均溢价,多校划片后原学区房的平均价格,学校
0,28.666666666666664,0,0,1,7.0,区重点,111156.0,9079.159568966832,新街口学区,34658.97115452576,136735.81158555893,北京第二实验小学玉桃园分校
1,18.0,0,0,1,6.0,普通,106631.27777777778,4554.437346744613,大栅栏-椿树-天桥学区,24867.869701506104,126944.71013253927,新世纪实验小学
2,18.0,0,0,1,6.0,普通,80375.66666666667,-21701.173764366496,广安门外学区,16235.990538024693,118312.83096905786,红莲小学
3,18.666666666666668,0,0,0,7.0,区重点,132568.2,30491.359568966844,长安街学区,35829.664338452305,137906.50476948547,力学小学
4,20.0,0,0,2,4.0,普通,89515.11111111111,-12561.729319922058,广安门内-牛街学区,16235.990538024678,118312.83096905785,登莱小学
5,38.66666666666666,0,0,2,7.0,区重点,109327.43589743589,7250.595466402723,展览路学区,31928.153455069434,134004.9938861026,展览路第一小学
6,32.666666666666664,0,1,0,8.0,市重点,115491.0,13414.159568966832,陶然亭-白纸坊学区,-76.61591879856132,102000.2245122346,育才小学
7,28.666666666666664,0,0,1,7.0,区重点,122536.78571428571,20459.945283252542,月坛学区,25747.04156163658,127823.88199266975,北京第二实验小学白云路分校
8,0.0,0,0,0,4.0,普通,152666.66666666666,50589.82623563349,什刹海学区,42872.427419241256,144949.26785027442,雷锋小学
9,22.000000000000004,0,0,1,7.0,普通,153542.16666666666,51465.32623563349,什刹海学区,42872.427419241256,144949.26785027442,北京市第十三中学附属小学
10,12.0,0,0,0,7.0,普通,124820.875,22744.034568966832,什刹海学区,42872.42741924123,144949.2678502744,鸦儿胡同小学
11,42.00000000000001,0,1,2,7.0,区重点,149327.76923076922,47250.92879973605,什刹海学区,42872.427419241256,144949.26785027442,厂桥小学
12,24.666666666666668,0,0,1,6.0,区重点,140709.875,38633.03456896683,什刹海学区,42872.42741924123,144949.2678502744,西什库小学
13,49.333333333333336,0,0,2,8.0,市重点,124794.22222222222,22717.38179118905,月坛学区,25747.041561636608,127823.88199266978,三里河第三小学
14,52.666666666666664,0,1,2,8.0,市重点,128762.07407407407,26685.233643040905,月坛学区,25747.041561636594,127823.88199266976,中古友谊小学
15,46.0,0,2,1,8.0,市重点,130427.25925925926,28350.418828226087,月坛学区,25747.04156163658,127823.88199266975,育民小学
16,38.66666666666666,0,4,0,7.0,市重点,100179.34285714285,-1897.4975738903158,陶然亭-白纸坊学区,-76.61591879856132,102000.2245122346,宣武师范学校附属第一小学
17,35.333333333333336,0,1,2,7.0,普通,116893.13333333333,14816.292902300163,陶然亭-白纸坊学区,-76.61591879857588,102000.22451223459,陶然亭小学
18,28.666666666666664,0,0,1,7.0,区重点,100223.70370370371,-1853.13672732946,陶然亭-白纸坊学区,-76.61591879856132,102000.2245122346,北京市第十五中学附属小学
19,18.666666666666668,0,0,0,7.0,区重点,134996.625,32919.78456896683,陶然亭-白纸坊学区,-76.61591879854677,102000.22451223462,北京市第八中学附属小学
20,8.0,0,0,0,6.0,普通,91891.13636363637,-10185.7040673968,陶然亭-白纸坊学区,-76.61591879859043,102000.22451223458,白纸坊小学
21,18.666666666666668,0,0,0,7.0,区重点,103527.64285714286,1450.802426109687,展览路学区,31928.153455069434,134004.9938861026,奋斗小学银河校区
22,38.66666666666666,0,0,2,7.0,区重点,110238.06451612903,8161.224085095862,展览路学区,31928.153455069376,134004.99388610254,阜成门外第一小学
23,18.0,0,0,1,6.0,普通,108377.63333333333,6300.792902300163,展览路学区,31928.153455069376,134004.99388610254,北京市西城外国语学校附属小学
24,38.0,0,1,2,6.0,区重点,103721.69230769231,1644.8518766591442,展览路学区,31928.153455069405,134004.99388610257,进步小学
25,35.333333333333336,0,2,1,7.0,区重点,110106.0,8029.159568966832,广安门内-牛街学区,16235.990538024693,118312.83096905786,康乐里小学
26,30.666666666666664,0,2,2,5.0,普通,95143.44444444444,-6933.39598658873,广安门内-牛街学区,16235.990538024693,118312.83096905786,宣武回民小学
27,39.33333333333333,0,0,1,8.0,市重点,105270.95833333333,3194.1179023001605,广安门内-牛街学区,16235.990538024693,118312.83096905786,北京小学广内分校
28,35.333333333333336,0,0,1,7.0,市重点,162052.26666666666,59975.426235633495,长安街学区,35829.664338452276,137906.50476948544,自忠小学
29,27.999999999999996,0,0,2,6.0,普通,88931.26086956522,-13145.579561467952,广安门外学区,16235.990538024664,118312.83096905783,三义里小学
30,49.333333333333336,0,0,2,8.0,市重点,96208.11111111111,-5868.7293199220585,广安门外学区,16235.990538024678,118312.83096905785,北京小学红山分校
31,22.000000000000004,0,0,1,7.0,普通,88241.72222222222,-13835.118208810949,广安门外学区,16235.990538024707,118312.83096905788,青年湖小学
32,38.66666666666666,0,0,2,7.0,区重点,91019.17857142857,-11057.661859604603,广安门外学区,16235.990538024707,118312.83096905788,北京第二实验小学广外分校
33,10.0,0,0,1,4.0,普通,95943.38461538461,-6133.455815648558,广安门外学区,16235.990538024678,118312.83096905785,椿树馆小学
34,10.0,0,0,1,4.0,普通,130654.14285714286,28577.302426109687,大栅栏-椿树-天桥学区,24867.869701506133,126944.7101325393,炭儿胡同小学
35,42.666666666666664,0,1,1,8.0,市重点,136720.92857142858,34644.08814039541,大栅栏-椿树-天桥学区,24867.869701506075,126944.71013253924,北京第一实验小学前门分校
36,20.0,0,0,2,4.0,普通,146223.1,44146.25956896684,新街口学区,34658.97115452579,136735.81158555896,京师附小
37,22.000000000000004,0,0,1,7.0,普通,128059.28571428571,25982.445283252542,新街口学区,34658.97115452573,136735.8115855589,志成小学
38,89.33333333333333,1,6,2,8.0,市重点,141839.54545454544,39762.70502351227,新街口学区,34658.97115452585,136735.81158555901,黄城根小学官园分校
39,89.33333333333333,1,6,2,8.0,市重点,153164.5,51087.65956896683,什刹海学区,42872.427419241256,144949.26785027442,黄城根小学
40,46.0,0,2,1,8.0,市重点,143988.0810810811,41911.24065004793,德胜学区,35371.305445456615,137448.14587648978,育翔小学
41,24.666666666666668,0,0,1,6.0,区重点,125125.0,23048.159568966832,德胜学区,35371.3054454567,137448.14587648987,三帆中学附属小学
42,18.666666666666668,0,0,0,7.0,区重点,141620.93333333332,39544.09290230015,德胜学区,35371.30544545667,137448.14587648984,北京第二实验小学德胜校区
43,38.66666666666666,0,0,2,7.0,区重点,135956.64,33879.799568966846,德胜学区,35371.3054454567,137448.14587648987,五路通小学
44,49.333333333333336,0,0,2,8.0,市重点,113521.75,11444.909568966832,德胜学区,35371.3054454567,137448.14587648987,北京西城区师范学校附属小学
45,59.333333333333336,0,3,2,8.0,市重点,173615.11764705883,71538.27721602566,金融街学区,22035.248097085176,124112.08852811834,奋斗小学
46,35.333333333333336,0,2,1,7.0,区重点,171223.15,69146.30956896683,金融街学区,22035.24809708516,124112.08852811833,西单小学
47,22.000000000000004,0,0,1,7.0,普通,150006.0,47929.15956896683,金融街学区,22035.248097085176,124112.08852811834,华嘉小学
48,18.0,0,0,1,6.0,普通,165095.7142857143,63018.87385468112,金融街学区,22035.24809708516,124112.08852811833,北京第二实验小学涭水河分校
49,90.0,1,6,1,9.0,全国重点,183159.16666666666,81082.32623563349,金融街学区,22035.24809708516,124112.08852811833,北京第二实验小学
50,39.33333333333333,0,0,1,8.0,市重点,91836.76470588235,-10240.075725150818,广安门外学区,16235.990538024693,118312.83096905786,北京小学天宁寺分校
51,18.0,0,0,1,6.0,普通,86955.84615384616,-15120.994277187012,陶然亭-白纸坊学区,-76.61591879854677,102000.22451223462,西城区实验小学
52,28.666666666666664,0,0,1,7.0,区重点,134391.35714285713,32314.516711823962,长安街学区,35829.66433845225,137906.50476948541,顺城街第一小学
53,25.33333333333333,0,0,0,7.0,市重点,90776.2,-11300.64043103317,广安门外学区,16235.990538024664,118312.83096905783,北京小学广外分校
