,综合打分,市学科带头人人数,市级优秀教师人数,环境管理评级通过批次,家长评分,学校等级,学区房平均价格,学区房溢价,所属学区,多校划片后原学区房的平均溢价,多校划片后原学区房的平均价格,学校
0,28.666666666666664,0,0,1,7.0,区重点,128676.96450000002,10510.262096025224,新街口学区,40122.091482757896,158288.7938867327,北京第二实验小学玉桃园分校
1,18.0,0,0,1,6.0,普通,123439.0329375,5272.330533525208,大栅栏-椿树-天桥学区,28787.66766320601,146954.3700671808,新世纪实验小学
2,18.0,0,0,1,6.0,普通,93044.881125,-25121.821278974792,广安门外学区,18795.18854658077,136961.89095055556,红莲小学
3,18.666666666666668,0,0,0,7.0,区重点,153464.262525,35297.560121025206,长安街学区,41477.315179800804,159644.0175837756,力学小学
4,20.0,0,0,2,4.0,普通,103624.93050000002,-14541.771903974775,广安门内-牛街学区,18795.18854658077,136961.89095055556,登莱小学
5,38.66666666666666,0,0,2,7.0,区重点,126560.17298076923,8393.47057679444,展览路学区,36960.828643424655,155127.53104739945,展览路第一小学
6,32.666666666666664,0,1,0,8.0,市重点,133695.268875,15528.566471025217,陶然亭-白纸坊学区,-88.69250299918349,118078.00990097561,育才小学
7,28.666666666666664,0,0,1,7.0,区重点,141851.6465625,23684.94415852522,月坛学区,29805.418987789555,147972.12139176435,北京第二实验小学白云路分校
8,0.0,0,0,0,4.0,普通,176730.75,58564.04759602521,什刹海学区,49630.19379119917,167796.89619517396,雷锋小学
9,22.000000000000004,0,0,1,7.0,普通,177744.25068750003,59577.54828352523,什刹海学区,49630.19379119917,167796.89619517396,北京市第十三中学附属小学
10,12.0,0,0,0,7.0,普通,144495.765421875,26329.063017900204,什刹海学区,49630.19379119917,167796.89619517396,鸦儿胡同小学
11,42.00000000000001,0,1,2,7.0,区重点,172865.55885576925,54698.85645179446,什刹海学区,49630.19379119914,167796.89619517393,厂桥小学
12,24.666666666666668,0,0,1,6.0,区重点,162889.269046875,44722.566642900216,什刹海学区,49630.19379119917,167796.89619517396,西什库小学
13,49.333333333333336,0,0,2,8.0,市重点,144464.91150000002,26298.209096025224,月坛学区,29805.418987789555,147972.12139176435,三里河第三小学
14,52.666666666666664,0,1,2,8.0,市重点,149058.196,30891.493596025204,月坛学区,29805.418987789526,147972.12139176432,中古友谊小学
15,46.0,0,2,1,8.0,市重点,150985.856,32819.15359602521,月坛学区,29805.418987789555,147972.12139176435,育民小学
16,38.66666666666666,0,4,0,7.0,市重点,115970.11177500003,-2196.5906289747654,陶然亭-白纸坊学区,-88.69250299921259,118078.00990097558,宣武师范学校附属第一小学
17,35.333333333333336,0,1,2,7.0,普通,135318.413475,17151.711071025216,陶然亭-白纸坊学区,-88.69250299915439,118078.00990097564,陶然亭小学
18,28.666666666666664,0,0,1,7.0,区重点,116021.46500000004,-2145.237403974752,陶然亭-白纸坊学区,-88.69250299919804,118078.0099009756,北京市第十五中学附属小学
19,18.666666666666668,0,0,0,7.0,区重点,156275.46801562503,38108.76561165023,陶然亭-白纸坊学区,-88.69250299919804,118078.0099009756,北京市第八中学附属小学
20,8.0,0,0,0,6.0,普通,106375.47673295457,-11791.22567102022,陶然亭-白纸坊学区,-88.69250299919804,118078.0099009756,白纸坊小学
21,18.666666666666668,0,0,0,7.0,区重点,119846.18756250002,1679.4851585252327,展览路学区,36960.828643424626,155127.53104739942,奋斗小学银河校区
22,38.66666666666666,0,0,2,7.0,区重点,127614.33943548388,9447.63703150909,展览路学区,36960.828643424626,155127.53104739942,阜成门外第一小学
23,18.0,0,0,1,6.0,普通,125460.65778750002,7293.95538352523,展览路学区,36960.828643424655,155127.53104739945,北京市西城外国语学校附属小学
24,38.0,0,1,2,6.0,区重点,120070.82405769233,1904.121653717535,展览路学区,36960.828643424626,155127.53104739942,进步小学
25,35.333333333333336,0,2,1,7.0,区重点,127461.45825000001,9294.755846025218,广安门内-牛街学区,18795.188546580743,136961.89095055553,康乐里小学
26,30.666666666666664,0,2,2,5.0,普通,110140.429875,-8026.2725289747905,广安门内-牛街学区,18795.18854658077,136961.89095055556,宣武回民小学
27,39.33333333333333,0,0,1,8.0,市重点,121864.29314062501,3697.5907366502215,广安门内-牛街学区,18795.18854658077,136961.89095055556,北京小学广内分校
28,35.333333333333336,0,0,1,7.0,市重点,187595.75520000004,69429.05279602525,长安街学区,41477.31517980072,159644.0175837755,自忠小学
29,27.999999999999996,0,0,2,6.0,普通,102949.05086413046,-15217.65153984433,广安门外学区,18795.188546580714,136961.8909505555,三义里小学
30,49.333333333333336,0,0,2,8.0,市重点,111372.91462500002,-6793.787778974773,广安门外学区,18795.18854658077,136961.89095055556,北京小学红山分校
31,22.000000000000004,0,0,1,7.0,普通,102150.82368750001,-16015.878716474777,广安门外学区,18795.18854658077,136961.89095055556,青年湖小学
32,38.66666666666666,0,0,2,7.0,区重点,105366.07659375003,-12800.625810224767,广安门外学区,18795.18854658077,136961.89095055556,北京第二实验小学广外分校
33,10.0,0,0,1,4.0,普通,111066.46061538463,-7100.241788590167,广安门外学区,18795.1885465808,136961.8909505556,椿树馆小学
34,10.0,0,0,1,4.0,普通,151248.50212500003,33081.799721025236,大栅栏-椿树-天桥学区,28787.66766320601,146954.3700671808,炭儿胡同小学
35,42.666666666666664,0,1,1,8.0,市重点,158271.56493750002,40104.86253352523,大栅栏-椿树-天桥学区,28787.66766320601,146954.3700671808,北京第一实验小学前门分校
36,20.0,0,0,2,4.0,普通,169271.5161375,51104.81373352521,新街口学区,40122.091482757896,158288.7938867327,京师附小
37,22.000000000000004,0,0,1,7.0,普通,148244.63062500002,30077.928221025228,新街口学区,40122.091482757925,158288.79388673272,志成小学
38,89.33333333333333,1,6,2,8.0,市重点,164197.00380681816,46030.30140284337,新街口学区,40122.091482757925,158288.79388673272,黄城根小学官园分校
39,89.33333333333333,1,6,2,8.0,市重点,177307.0543125,59140.351908525205,什刹海学区,49630.1937911992,167796.896195174,黄城根小学
40,46.0,0,2,1,8.0,市重点,166684.20236148647,48517.49995751168,德胜学区,40946.707466296866,159113.40987027166,育翔小学
41,24.666666666666668,0,0,1,6.0,区重点,144847.828125,26681.125721025208,德胜学区,40946.70746629681,159113.4098702716,三帆中学附属小学
42,18.666666666666668,0,0,0,7.0,区重点,163943.93295000002,45777.230546025225,德胜学区,40946.70746629684,159113.40987027163,北京第二实验小学德胜校区
